"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";"";"";"";"";"";
"1";"";"TRIM_EU-B64Y";"B64Y";"R4";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";
"1";"100n";"C-EUC0603K";"C0603K";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"1";"10n";"C-EUC0805K";"C0805K";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"1";"15k";"R-US_M0805";"M0805";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"1M";"R-US_M0805";"M0805";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"1u";"CPOL-EU153CLV-0405";"153CLV-0405";"C1";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";
"1";"560";"R-US_M0805";"M0805";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";
"1";"B4B-XH-A(LF)(SN)";"B4B-XH-A(LF)(SN)";"SHDR4W64P0X250_1X4_1240X575X70";"J1";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"B4B-XH-A(LF)(SN)";"https://www.arrow.com/en/products/b4b-xh-a-lf-sn/jst-manufacturing";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B4B-XH-A(LF)(SN)";"1724913";"http://uk.rs-online.com/web/p/products/1724913";"";
"1";"NE555D";"NE555D";"SO08";"IC1";"TIMER";"";"";"";"";"";"";"";"";"";
"1";"SFH_2270_R";"SFH_2270_R";"SFH2270R";"LED2";"Osram Opto SFH 2270 R Visible Light Photodiode, SMD Top LED";"SFH 2270 R";"https://www.arrow.com/en/products/sfh2270r/osram-opto-semiconductors";"Osram Opto SFH 2270 R Visible Light Photodiode, SMD Top LED";"mm";"OSRAM Opto Semiconductors";"SFH 2270 R";"7080561";"http://uk.rs-online.com/web/p/products/7080561";"";
