"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"";"FE06-1";"FE06";"ICSP";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"LED3MM";"LED3MM";"LED7";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED9";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"L";"";
"1";"";"MA05-2";"MA05-2";"SV2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"R-US_R0805";"R0805";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"R-US_R0805";"R0805";"R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"1";"";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"JMP1, JMP3";"SMD 0R 0805 Jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"JMP2, JMP4";"SMD 0R 0805 Jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"X";"";
"2";"100";"R-US_R0805";"R0805";"R36, R37";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"740-8978";"";"R";"";
"7";"100k";"R-US_R0805";"R0805";"R4, R18, R22, R23, R35, R39, R42";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
