"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"RS_PRICE/STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"4";"";"C-EUC0402K";"C0402K";"C18, C21, C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"3";"";"LED3MM";"LED3MM";"LED1, LED3, LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED5, LED6";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MA06-1";"MA06-1";"SV1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"4";"";"MUN2214T1-NPN_DRIVER-SC59-BEC";"SC59-BEC";"T1, T2, T3, T4";"NPN Bias Resistor Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"R-US_R0603";"R0603";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"2";"0";"R-US_R0402";"R0402";"R21, R22";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"2";"100";"R-US_R0603";"R0603";"R23, R24";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"740-8978";"";"";"R";"";
"2";"100k";"R-US_R0603";"R0603";"R15, R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
"9";"100n";"C-EUC0603K";"C0603K";"C1, C2, C4, C5, C6, C7, C24, C27, C28";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"1";"10104111-0001LF";"10104111-0001LF";"MICRO_USB_A/B_TYPE_RECEPTACLE";"J1";"FCI Right Angle SMT Female Type AB Version 2.0 Micro USB Connector, 100 V ac, 1.8A";"70236825";"";"";"";"FCI Right Angle SMT Female Type AB Version 2.0 Micro USB Connector, 100 V ac, 1.8A";"mm";"FCI";"10104111-0001LF";"";"";"";"";"";"1622014";"";"";"";"";
"7";"10k";"R-US_R0603";"R0603";"R4, R5, R12, R13, R14, R28, R35";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";
