"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS";"RS_PART_NUMBER";"RS_PRICE-STOCK";"RS_PRICE/STOCK";"SPICEPREFIX";"TP_SIGNAL_NAME";
"ANT1";"M310210";"M310210";"M310210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C2";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C3";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C4";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C5";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C6";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C7";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C8";"1u";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C9";"470n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C10";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C11";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C12";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C13";"10n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C14";"1n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C15";"1n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C16";"33n";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C17";"2n2";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C18";"";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C19";"4p7";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C20";"1p";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C21";"";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C22";"";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C23";"";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C24";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C25";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C26";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C27";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C28";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C29";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C30";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C31";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"C32";"10u";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";
"IC1";"PIC32MX274F256DT-I_PT";"PIC32MX274F256DT-I_PT";"QFP80P1200X1200X120-44N";"32-bit Microcontrollers - MCU 256KB Flash, 64KB RAM, 10-Bit ADC, UART, SPI/I2S, I2C + VBATT Pin, USB";"";"PIC32MX274F256DT-I/PT";"";"";"32-bit Microcontrollers - MCU 256KB Flash, 64KB RAM, 10-Bit ADC, UART, SPI/I2S, I2C + VBATT Pin, USB";"1.2mm";"Microchip";"PIC32MX274F256DT-I/PT";"";"";"";"";"";"";"";"";"";"";
"IC2";"SN65220DBVRG4";"SN65220DBVRG4";"SOT95P280X145-6N";"ESD Suppressors / TVS Diodes Sngl Port Transient Suppressor";"";"SN65220DBVRG4";"";"https://www.arrow.com/en/products/sn65220dbvrg4/texas-instruments";"ESD Suppressors / TVS Diodes Sngl Port Transient Suppressor";"1.45mm";"Texas Instruments";"SN65220DBVRG4";"";"";"";"";"";"";"";"";"";"";
"IC3";"CSTCE8M00G55-R0";"CSTCE12M0G15L99-R0";"CSTCE_G";"CSTCE12M0G15L99-R0, Ceramic Resonator, 12MHz Shear 33pF, 3-Pin SMT, 3.2 x 1.3 x 0.7mm";"";"CSTCE12M0G15L99-R0";"";"https://www.arrow.com/en/products/cstce12m0g15l99-r0/murata-manufacturing";"CSTCE12M0G15L99-R0, Ceramic Resonator, 12MHz Shear 33pF, 3-Pin SMT, 3.2 x 1.3 x 0.7mm";"mm";"Murata Electronics";"CSTCE12M0G15L99-R0";"";"";"";"";"";"7926527P";"";"http://uk.rs-online.com/web/p/products/7926527P";"";"";
"IC4";"HM-11";"HM-11";"HM-11";"JNHuaMao HM-11 Bluetooth 4.0 Transceiver";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC5";"BQ27441DRZR-G1A";"BQ27441DRZR-G1A";"BQ27441DRZRG1A";"System-Side Impedance Track Battery Fuel (Gas) Gauge";"";"BQ27441DRZR-G1A";"https://www.arrow.com/en/products/bq27441drzr-g1a/texas-instruments";"";"System-Side Impedance Track Battery Fuel (Gas) Gauge";"mm";"Texas Instruments";"BQ27441DRZR-G1A";"";"";"";"";"";"";"";"";"";"";
"IC6";"BQ24075RGTT";"BQ24075RGTT";"QFN50P300X300X80-17N";"1.5A Li-Ion Charger, Power-Path VQFN16EP BQ24075RGTT, Battery Charge Controller, Lithium-Ion, 4500mA, 16-Pin QFN";"";"BQ24075RGTT";"";"https://www.arrow.com/en/products/bq24075rgtt/texas-instruments";"1.5A Li-Ion Charger, Power-Path VQFN16EP BQ24075RGTT, Battery Charge Controller, Lithium-Ion, 4500mA, 16-Pin QFN";"0.8mm";"Texas Instruments";"BQ24075RGTT";"";"";"";"";"";"8175815P";"";"http://uk.rs-online.com/web/p/products/8175815P";"";"";
"IC7";"NRF24L01P-T";"NRF24L01P-T";"QFN50P400X400X95-21N";"RF Transceiver IC 2.4GHz ISM Band QFN20 Nordic Semiconductor NRF24L01P-T, RF Transceiver 2400MHz to 2483.5MHz 1.9  3.6 V 20-Pin QFN";"";"nRF24L01P-T";"";"https://www.arrow.com/en/products/nrf24l01p-t/nordic-semiconductor";"RF Transceiver IC 2.4GHz ISM Band QFN20 Nordic Semiconductor NRF24L01P-T, RF Transceiver 2400MHz to 2483.5MHz 1.9  3.6 V 20-Pin QFN";"0.95mm";"Nordic Semiconductor";"nRF24L01P-T";"";"";"";"";"";"8855748P";"";"http://uk.rs-online.com/web/p/products/8855748P";"";"";
"IC8";"CSTCE16M0V53-R0";"CSTCE12M0G15L99-R0";"CSTCE_G";"CSTCE12M0G15L99-R0, Ceramic Resonator, 12MHz Shear 33pF, 3-Pin SMT, 3.2 x 1.3 x 0.7mm";"";"CSTCE12M0G15L99-R0";"";"https://www.arrow.com/en/products/cstce12m0g15l99-r0/murata-manufacturing";"CSTCE12M0G15L99-R0, Ceramic Resonator, 12MHz Shear 33pF, 3-Pin SMT, 3.2 x 1.3 x 0.7mm";"mm";"Murata Electronics";"CSTCE12M0G15L99-R0";"";"";"";"";"";"7926527P";"";"http://uk.rs-online.com/web/p/products/7926527P";"";"";
"IC9";"24LC024ST";"24LC024ST";"TSSOP8";"Serial EEPROM";"";"";"";"";"";"";"";"";"";"24LC024H-I/ST";"1659745";"77M3584";"";"";"";"";"";"";
"IC10";"MAX16054AZT+T";"MAX16054AZT+T";"SOT95P275X110-6N";"On Off Controller, Debounce, 15kV ESD MAX16054AZT+T, Voltage Supervisor No Push Button Controller 6-Pin SOT-23";"";"MAX16054AZT+T";"";"http://uk.rs-online.com/web/p/products/9237416";"On Off Controller, Debounce, 15kV ESD MAX16054AZT+T, Voltage Supervisor No Push Button Controller 6-Pin SOT-23";"1.1mm";"Maxim Integrated";"MAX16054AZT+T";"";"";"";"";"";"9237416";"";"http://uk.rs-online.com/web/p/products/9237416";"";"";
"IC11";"TPS63001DRCT";"TPS63000DRCT";"SON50P300X300X100-11N";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"";"TPS63000DRCT";"";"https://www.arrow.com/en/products/tps63000drct/texas-instruments";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"1mm";"Texas Instruments";"TPS63000DRCT";"";"";"";"";"";"0389334P";"";"http://uk.rs-online.com/web/p/products/0389334P";"";"";
"IC12";"TPS63002DRCT";"TPS63000DRCT";"SON50P300X300X100-11N";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"";"TPS63000DRCT";"";"https://www.arrow.com/en/products/tps63000drct/texas-instruments";"TPS63000DRCT Buck/Boost Converter, 1.2A, Adjustable, 1.2  5.5 V, 1500 kHz, 10-Pin SON EP";"1mm";"Texas Instruments";"TPS63000DRCT";"";"";"";"";"";"0389334P";"";"http://uk.rs-online.com/web/p/products/0389334P";"";"";
"IC13";"74LVC1G32SE-7";"74LVC1G32SE-7";"SOT353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"10104111-0001LF";"10104111-0001LF";"MICRO_USB_A/B_TYPE_RECEPTACLE";"FCI Right Angle SMT Female Type AB Version 2.0 Micro USB Connector, 100 V ac, 1.8A";"70236825";"";"";"";"FCI Right Angle SMT Female Type AB Version 2.0 Micro USB Connector, 100 V ac, 1.8A";"mm";"FCI";"10104111-0001LF";"";"";"";"";"";"1622014";"";"";"";"";
"J2";"BAT";"B2B-PH-SM4-TB(LF)(SN)";"B2B-PH-SM4-TB";"Wire-To-Board Connector, PH Series, 2 Contacts, Header, 2 mm, Surface Mount, 1 Rows";"";"";"";"";"Wire-To-Board Connector, PH Series, 2 Contacts, Header, 2 mm, Surface Mount, 1 Rows";"mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B2B-PH-SM4-TB(LF)(SN)";"";"";"";"";"";"6881325P";"";"";"";"";
"J3";"CONUFL001-SMD-T";"CONUFL001-SMD-T";"CONUFL001-SMD";"RF Connectors / Coaxial Connectors T&R U.FL Straight Surface Mount Jack";"";"CONUFL001-SMD-T";"";"";"RF Connectors / Coaxial Connectors T&R U.FL Straight Surface Mount Jack";"mm";"Linx Technologies";"CONUFL001-SMD-T";"";"";"";"";"";"";"";"";"";"";
"J4";"Right_sens";"B4B-XH-A(LF)(SN)";"SHDR4W64P0X250_1X4_1240X575X70";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"";"B4B-XH-A(LF)(SN)";"";"https://www.arrow.com/en/products/b4b-xh-a-lf-sn/jst-manufacturing";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B4B-XH-A(LF)(SN)";"";"";"";"";"";"1724913";"";"http://uk.rs-online.com/web/p/products/1724913";"";"";
"J5";"Right";"B2B-XH-A(LF)(SN)";"SHDR2W64P0X250_1X2_740X575X700";"JST XH Series, 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 3A";"";"B2B-XH-A(LF)(SN)";"";"https://www.arrow.com/en/products/b2b-xh-a-lf-sn/jst-manufacturing";"JST XH Series, 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B2B-XH-A(LF)(SN)";"";"";"";"";"";"1667312";"";"http://uk.rs-online.com/web/p/products/1667312";"";"";
"J6";"Left_sens";"B4B-XH-A(LF)(SN)";"SHDR4W64P0X250_1X4_1240X575X70";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"";"B4B-XH-A(LF)(SN)";"";"https://www.arrow.com/en/products/b4b-xh-a-lf-sn/jst-manufacturing";"XH-2.5mm Header top entry 4 way JST XH Series, Series Number B4B, 2.5mm Pitch 4 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B4B-XH-A(LF)(SN)";"";"";"";"";"";"1724913";"";"http://uk.rs-online.com/web/p/products/1724913";"E";"";
"J7";"Left";"B2B-XH-A(LF)(SN)";"SHDR2W64P0X250_1X2_740X575X700";"JST XH Series, 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 3A";"";"B2B-XH-A(LF)(SN)";"";"https://www.arrow.com/en/products/b2b-xh-a-lf-sn/jst-manufacturing";"JST XH Series, 2.5mm Pitch 2 Way 1 Row Straight PCB Header, Solder Termination, 3A";"7mm";"JST (JAPAN SOLDERLESS TERMINALS)";"B2B-XH-A(LF)(SN)";"";"";"";"";"";"1667312";"";"http://uk.rs-online.com/web/p/products/1667312";"";"";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"8n2";"INDUCTOR";"C0402K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L2";"2n7";"INDUCTOR";"C0402K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L3";"3n9";"INDUCTOR";"C0402K";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L4";"VLF4012AT-2R2M1R5";"LPS3015-222MRB";"LPS3015";"COILCRAFT - LPS3015-222MRB - INDUCTOR, SHLD, 2.2UH, 20%, 1.1A, SMD";"";"LPS3015-222MRB";"";"";"COILCRAFT - LPS3015-222MRB - INDUCTOR, SHLD, 2.2UH, 20%, 1.1A, SMD";"mm";"COILCRAFT";"LPS3015-222MRB";"";"";"";"";"";" 644-1952";"";"";"";"";
"L5";"VLF4012AT-2R2M1R5";"LPS3015-222MRB";"LPS3015";"COILCRAFT - LPS3015-222MRB - INDUCTOR, SHLD, 2.2UH, 20%, 1.1A, SMD";"";"LPS3015-222MRB";"";"";"COILCRAFT - LPS3015-222MRB - INDUCTOR, SHLD, 2.2UH, 20%, 1.1A, SMD";"mm";"COILCRAFT";"LPS3015-222MRB";"";"";"";"";"";" 644-1952";"";"";"";"";
"LED1";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED3";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED4";"";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED5";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED6";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"BC817";"BC817-16LT1SMD";"SOT23-BEC";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"BC817";"BC817-16LT1SMD";"SOT23-BEC";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q3";"BC817";"BC817-16LT1SMD";"SOT23-BEC";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
